StudyPoleTag,PoleTag,PoleNumber,Assembly,AssemblyHeight,ConductorType,ConductorName,Height,DesignTension,Tension,Mcn,Mc,Mcmax,Mcmaxws,Mcmaxx,Mcmaxy,Mcws,Mcwsx,Mcwsy,Mtx,Mty,Span,NormAngle
30-6,A,0,C1.11,0,AAAC,Canton,24.083333333333332,0.5,6650.0,13.815805555555555,2.114935256406666e-15,34.539513888888884,5180.927083333332,-9.517208653829995e-13,-5180.927083333332,3.1724028846099993e-13,3.1724028846099993e-13,0.0,-264254.37499999994,3.236182745044343e-11,300.0,3.141592653589793
30-6,A,1,C1.11,0,AAAC,Canton,25.25,0.5,6650.0,14.485083333333334,2.2173888674436676e-15,36.21270833333333,5431.90625,-9.978249903496503e-13,-5431.90625,3.3260833011655014e-13,3.3260833011655014e-13,0.0,-277055.625,3.392952843420194e-11,300.0,3.141592653589793
30-6,A,2,C1.11,0,AAAC,Canton,24.083333333333332,0.5,6650.0,13.815805555555555,2.114935256406666e-15,34.539513888888884,5180.927083333332,-9.517208653829995e-13,-5180.927083333332,3.1724028846099993e-13,3.1724028846099993e-13,0.0,-264254.37499999994,3.236182745044343e-11,300.0,3.141592653589793
30-6,A,3,C1.11,0,AAAC,Canton,21.0,0.5,6650.0,12.047,1.8441649986660207e-15,30.1175,4517.625,-8.298742493997092e-13,-4517.625,2.766247497999031e-13,2.766247497999031e-13,0.0,-230422.5,2.8218617707653098e-11,300.0,3.141592653589793
30-6,B,0,C1.11,0,AAAC,Canton,24.083333333333332,0.5,6650.0,13.815805555555555,2.114935256406666e-15,34.539513888888884,5180.927083333332,3.172402884609999e-13,5180.927083333332,3.1724028846099993e-13,3.1724028846099993e-13,0.0,264254.37499999994,0.0,300.0,0.0
30-6,B,1,C1.11,0,AAAC,Canton,25.25,0.5,6650.0,14.485083333333334,2.2173888674436676e-15,36.21270833333333,5431.90625,3.3260833011655014e-13,5431.90625,3.3260833011655014e-13,3.3260833011655014e-13,0.0,277055.625,0.0,300.0,0.0
30-6,B,2,C1.11,0,AAAC,Canton,24.083333333333332,0.5,6650.0,13.815805555555555,2.114935256406666e-15,34.539513888888884,5180.927083333332,3.172402884609999e-13,5180.927083333332,3.1724028846099993e-13,3.1724028846099993e-13,0.0,264254.37499999994,0.0,300.0,0.0
30-6,B,3,C1.11,0,AAAC,Canton,21.0,0.5,6650.0,12.047,1.8441649986660207e-15,30.1175,4517.625,2.7662474979990307e-13,4517.625,2.766247497999031e-13,2.766247497999031e-13,0.0,230422.5,0.0,300.0,0.0
35-4,A,0,C1.11,0,AAAC,Canton,28.583333333333332,0.5,6650.0,16.397305555555555,2.510113470406528e-15,40.99326388888889,6148.989583333334,-1.1295510616829376e-12,-6148.989583333334,3.7651702056097916e-13,3.7651702056097916e-13,0.0,-313630.62499999994,3.8408674102083384e-11,300.0,3.141592653589793
35-4,A,1,C1.11,0,AAAC,Canton,29.75,0.5,6650.0,17.066583333333334,2.6125670814435294e-15,42.66645833333334,6399.968750000001,-1.1756551866495882e-12,-6399.968750000001,3.918850622165294e-13,3.918850622165294e-13,0.0,-326431.875,3.997637508584189e-11,300.0,3.141592653589793
35-4,A,2,C1.11,0,AAAC,Canton,28.583333333333332,0.5,6650.0,16.397305555555555,2.510113470406528e-15,40.99326388888889,6148.989583333334,-1.1295510616829376e-12,-6148.989583333334,3.7651702056097916e-13,3.7651702056097916e-13,0.0,-313630.62499999994,3.8408674102083384e-11,300.0,3.141592653589793
35-4,A,3,C1.11,0,AAAC,Canton,25.5,0.5,6650.0,14.628499999999999,2.239343212665882e-15,36.57125,5485.6875,-1.007704445699647e-12,-5485.6875,3.359014818998823e-13,3.359014818998823e-13,0.0,-279798.75,3.426546435929305e-11,300.0,3.141592653589793
35-4,B,0,C1.11,0,AAAC,Canton,28.583333333333332,0.5,6650.0,16.397305555555555,2.510113470406528e-15,40.99326388888889,6148.989583333334,3.765170205609792e-13,6148.989583333334,3.7651702056097916e-13,3.7651702056097916e-13,0.0,313630.62499999994,0.0,300.0,0.0
35-4,B,1,C1.11,0,AAAC,Canton,29.75,0.5,6650.0,17.066583333333334,2.6125670814435294e-15,42.66645833333334,6399.968750000001,3.918850622165294e-13,6399.968750000001,3.918850622165294e-13,3.918850622165294e-13,0.0,326431.875,0.0,300.0,0.0
35-4,B,2,C1.11,0,AAAC,Canton,28.583333333333332,0.5,6650.0,16.397305555555555,2.510113470406528e-15,40.99326388888889,6148.989583333334,3.765170205609792e-13,6148.989583333334,3.7651702056097916e-13,3.7651702056097916e-13,0.0,313630.62499999994,0.0,300.0,0.0
35-4,B,3,C1.11,0,AAAC,Canton,25.5,0.5,6650.0,14.628499999999999,2.239343212665882e-15,36.57125,5485.6875,3.359014818998823e-13,5485.6875,3.359014818998823e-13,3.359014818998823e-13,0.0,279798.75,0.0,300.0,0.0
40-3,A,0,C1.11,0,AAAC,Canton,33.583333333333336,0.5,6650.0,19.26563888888889,2.9492003748508187e-15,48.164097222222225,7224.614583333334,-1.3271401686828684e-12,-7224.614583333334,4.423800562276228e-13,4.423800562276228e-13,0.0,-368493.125,4.512739260390555e-11,300.0,3.141592653589793
40-3,A,1,C1.11,0,AAAC,Canton,34.75,0.5,6650.0,19.934916666666666,3.0516539858878194e-15,49.837291666666665,7475.59375,-1.3732442936495187e-12,-7475.59375,4.577480978831729e-13,4.577480978831729e-13,0.0,-381294.375,4.669509358766406e-11,300.0,3.141592653589793
40-3,A,2,C1.11,0,AAAC,Canton,33.583333333333336,0.5,6650.0,19.26563888888889,2.9492003748508187e-15,48.164097222222225,7224.614583333334,-1.3271401686828684e-12,-7224.614583333334,4.423800562276228e-13,4.423800562276228e-13,0.0,-368493.125,4.512739260390555e-11,300.0,3.141592653589793
40-3,A,3,C1.11,0,AAAC,Canton,30.5,0.5,6650.0,17.496833333333335,2.678430117110173e-15,43.74208333333334,6561.312500000001,-1.2052935526995777e-12,-6561.312500000001,4.0176451756652596e-13,4.0176451756652596e-13,0.0,-334661.25,4.098418286111521e-11,300.0,3.141592653589793
40-3,B,0,C1.11,0,AAAC,Canton,33.583333333333336,0.5,6650.0,19.26563888888889,2.9492003748508187e-15,48.164097222222225,7224.614583333334,4.423800562276228e-13,7224.614583333334,4.423800562276228e-13,4.423800562276228e-13,0.0,368493.125,0.0,300.0,0.0
40-3,B,1,C1.11,0,AAAC,Canton,34.75,0.5,6650.0,19.934916666666666,3.0516539858878194e-15,49.837291666666665,7475.59375,4.57748097883173e-13,7475.59375,4.577480978831729e-13,4.577480978831729e-13,0.0,381294.375,0.0,300.0,0.0
40-3,B,2,C1.11,0,AAAC,Canton,33.583333333333336,0.5,6650.0,19.26563888888889,2.9492003748508187e-15,48.164097222222225,7224.614583333334,4.423800562276228e-13,7224.614583333334,4.423800562276228e-13,4.423800562276228e-13,0.0,368493.125,0.0,300.0,0.0
40-3,B,3,C1.11,0,AAAC,Canton,30.5,0.5,6650.0,17.496833333333335,2.678430117110173e-15,43.74208333333334,6561.312500000001,4.0176451756652596e-13,6561.312500000001,4.0176451756652596e-13,4.0176451756652596e-13,0.0,334661.25,0.0,300.0,0.0
45-2,A,0,C1.11,0,AAAC,Canton,38.083333333333336,0.5,6650.0,21.84713888888889,3.34437858885068e-15,54.617847222222224,8192.677083333334,-1.504970364982806e-12,-8192.677083333334,5.01656788327602e-13,5.01656788327602e-13,0.0,-417869.375,5.117423925554551e-11,300.0,3.141592653589793
45-2,A,1,C1.11,0,AAAC,Canton,39.25,0.5,6650.0,22.516416666666668,3.4468321998876816e-15,56.29104166666667,8443.65625,-1.5510744899494564e-12,-8443.65625,5.170248299831522e-13,5.170248299831522e-13,0.0,-430670.625,5.274194023930401e-11,300.0,3.141592653589793
45-2,A,2,C1.11,0,AAAC,Canton,38.083333333333336,0.5,6650.0,21.84713888888889,3.34437858885068e-15,54.617847222222224,8192.677083333334,-1.504970364982806e-12,-8192.677083333334,5.01656788327602e-13,5.01656788327602e-13,0.0,-417869.375,5.117423925554551e-11,300.0,3.141592653589793
45-2,A,3,C1.11,0,AAAC,Canton,35.0,0.5,6650.0,20.078333333333333,3.0736083311100344e-15,50.19583333333333,7529.375,-1.3831237489995154e-12,-7529.375,4.610412496665052e-13,4.610412496665052e-13,0.0,-384037.5,4.7031029512755165e-11,300.0,3.141592653589793
45-2,B,0,C1.11,0,AAAC,Canton,38.083333333333336,0.5,6650.0,21.84713888888889,3.34437858885068e-15,54.617847222222224,8192.677083333334,5.01656788327602e-13,8192.677083333334,5.01656788327602e-13,5.01656788327602e-13,0.0,417869.375,0.0,300.0,0.0
45-2,B,1,C1.11,0,AAAC,Canton,39.25,0.5,6650.0,22.516416666666668,3.4468321998876816e-15,56.29104166666667,8443.65625,5.170248299831522e-13,8443.65625,5.170248299831522e-13,5.170248299831522e-13,0.0,430670.625,0.0,300.0,0.0
45-2,B,2,C1.11,0,AAAC,Canton,38.083333333333336,0.5,6650.0,21.84713888888889,3.34437858885068e-15,54.617847222222224,8192.677083333334,5.01656788327602e-13,8192.677083333334,5.01656788327602e-13,5.01656788327602e-13,0.0,417869.375,0.0,300.0,0.0
45-2,B,3,C1.11,0,AAAC,Canton,35.0,0.5,6650.0,20.078333333333333,3.0736083311100344e-15,50.19583333333333,7529.375,4.610412496665051e-13,7529.375,4.610412496665052e-13,4.610412496665052e-13,0.0,384037.5,0.0,300.0,0.0
50-1,A,0,C1.11,0,AAAC,Canton,42.583333333333336,0.5,6650.0,24.42863888888889,3.739556802850542e-15,61.07159722222222,9160.739583333334,-1.6828005612827437e-12,-9160.739583333334,5.609335204275813e-13,5.609335204275813e-13,0.0,-467245.625,5.7221085907185454e-11,300.0,3.141592653589793
50-1,A,1,C1.11,0,AAAC,Canton,43.75,0.5,6650.0,25.097916666666666,3.842010413887542e-15,62.744791666666664,9411.71875,-1.7289046862493941e-12,-9411.71875,5.763015620831313e-13,5.763015620831313e-13,0.0,-480046.875,5.878878689094395e-11,300.0,3.141592653589793
50-1,A,2,C1.11,0,AAAC,Canton,42.583333333333336,0.5,6650.0,24.42863888888889,3.739556802850542e-15,61.07159722222222,9160.739583333334,-1.6828005612827437e-12,-9160.739583333334,5.609335204275813e-13,5.609335204275813e-13,0.0,-467245.625,5.7221085907185454e-11,300.0,3.141592653589793
50-1,A,3,C1.11,0,AAAC,Canton,39.5,0.5,6650.0,22.65983333333333,3.4687865451098954e-15,56.649583333333325,8497.437499999998,-1.5609539452994527e-12,-8497.437499999998,5.203179817664843e-13,5.203179817664843e-13,0.0,-433413.75,5.3077876164395117e-11,300.0,3.141592653589793
50-1,B,0,C1.11,0,AAAC,Canton,42.583333333333336,0.5,6650.0,24.42863888888889,3.739556802850542e-15,61.07159722222222,9160.739583333334,5.609335204275813e-13,9160.739583333334,5.609335204275813e-13,5.609335204275813e-13,0.0,467245.625,0.0,300.0,0.0
50-1,B,1,C1.11,0,AAAC,Canton,43.75,0.5,6650.0,25.097916666666666,3.842010413887542e-15,62.744791666666664,9411.71875,5.763015620831314e-13,9411.71875,5.763015620831313e-13,5.763015620831313e-13,0.0,480046.875,0.0,300.0,0.0
50-1,B,2,C1.11,0,AAAC,Canton,42.583333333333336,0.5,6650.0,24.42863888888889,3.739556802850542e-15,61.07159722222222,9160.739583333334,5.609335204275813e-13,9160.739583333334,5.609335204275813e-13,5.609335204275813e-13,0.0,467245.625,0.0,300.0,0.0
50-1,B,3,C1.11,0,AAAC,Canton,39.5,0.5,6650.0,22.65983333333333,3.4687865451098954e-15,56.649583333333325,8497.437499999998,5.203179817664842e-13,8497.437499999998,5.203179817664843e-13,5.203179817664843e-13,0.0,433413.75,0.0,300.0,0.0
55-1,A,0,C1.11,0,AAAC,Canton,47.083333333333336,0.5,6650.0,27.01013888888889,4.134735016850403e-15,67.52534722222222,10128.802083333334,-1.8606307575826814e-12,-10128.802083333334,6.202102525275605e-13,6.202102525275605e-13,0.0,-516621.875,6.32679325588254e-11,300.0,3.141592653589793
55-1,A,1,C1.11,0,AAAC,Canton,48.25,0.5,6650.0,27.679416666666665,4.237188627887404e-15,69.19854166666666,10379.781249999998,-1.9067348825493316e-12,-10379.781249999998,6.355782941831106e-13,6.355782941831106e-13,0.0,-529423.125,6.483563354258391e-11,300.0,3.141592653589793
55-1,A,2,C1.11,0,AAAC,Canton,47.083333333333336,0.5,6650.0,27.01013888888889,4.134735016850403e-15,67.52534722222222,10128.802083333334,-1.8606307575826814e-12,-10128.802083333334,6.202102525275605e-13,6.202102525275605e-13,0.0,-516621.875,6.32679325588254e-11,300.0,3.141592653589793
55-1,A,3,C1.11,0,AAAC,Canton,44.0,0.5,6650.0,25.241333333333333,3.863964759109757e-15,63.10333333333333,9465.5,-1.7387841415993907e-12,-9465.5,5.795947138664635e-13,5.795947138664635e-13,0.0,-482790.0,5.912472281603506e-11,300.0,3.141592653589793
55-1,B,0,C1.11,0,AAAC,Canton,47.083333333333336,0.5,6650.0,27.01013888888889,4.134735016850403e-15,67.52534722222222,10128.802083333334,6.202102525275605e-13,10128.802083333334,6.202102525275605e-13,6.202102525275605e-13,0.0,516621.875,0.0,300.0,0.0
55-1,B,1,C1.11,0,AAAC,Canton,48.25,0.5,6650.0,27.679416666666665,4.237188627887404e-15,69.19854166666666,10379.781249999998,6.355782941831106e-13,10379.781249999998,6.355782941831106e-13,6.355782941831106e-13,0.0,529423.125,0.0,300.0,0.0
55-1,B,2,C1.11,0,AAAC,Canton,47.083333333333336,0.5,6650.0,27.01013888888889,4.134735016850403e-15,67.52534722222222,10128.802083333334,6.202102525275605e-13,10128.802083333334,6.202102525275605e-13,6.202102525275605e-13,0.0,516621.875,0.0,300.0,0.0
55-1,B,3,C1.11,0,AAAC,Canton,44.0,0.5,6650.0,25.241333333333333,3.863964759109757e-15,63.10333333333333,9465.5,5.795947138664635e-13,9465.5,5.795947138664635e-13,5.795947138664635e-13,0.0,482790.0,0.0,300.0,0.0
60-1,A,0,C1.11,0,AAAC,Canton,51.583333333333336,0.5,6650.0,29.59163888888889,4.529913230850265e-15,73.97909722222222,11096.864583333334,-2.038460953882619e-12,-11096.864583333334,6.794869846275397e-13,6.794869846275397e-13,0.0,-565998.125,6.931477921046536e-11,300.0,3.141592653589793
60-1,A,1,C1.11,0,AAAC,Canton,52.75,0.5,6650.0,30.260916666666667,4.632366841887266e-15,75.65229166666667,11347.84375,-2.0845650788492695e-12,-11347.84375,6.948550262830899e-13,6.948550262830899e-13,0.0,-578799.375,7.088248019422386e-11,300.0,3.141592653589793
60-1,A,2,C1.11,0,AAAC,Canton,51.583333333333336,0.5,6650.0,29.59163888888889,4.529913230850265e-15,73.97909722222222,11096.864583333334,-2.038460953882619e-12,-11096.864583333334,6.794869846275397e-13,6.794869846275397e-13,0.0,-565998.125,6.931477921046536e-11,300.0,3.141592653589793
60-1,A,3,C1.11,0,AAAC,Canton,48.5,0.5,6650.0,27.82283333333333,4.259142973109618e-15,69.55708333333332,10433.562499999998,-1.916614337899328e-12,-10433.562499999998,6.388714459664427e-13,6.388714459664427e-13,0.0,-532166.25,6.517156946767502e-11,300.0,3.141592653589793
60-1,B,0,C1.11,0,AAAC,Canton,51.583333333333336,0.5,6650.0,29.59163888888889,4.529913230850265e-15,73.97909722222222,11096.864583333334,6.794869846275397e-13,11096.864583333334,6.794869846275397e-13,6.794869846275397e-13,0.0,565998.125,0.0,300.0,0.0
60-1,B,1,C1.11,0,AAAC,Canton,52.75,0.5,6650.0,30.260916666666667,4.632366841887266e-15,75.65229166666667,11347.84375,6.948550262830899e-13,11347.84375,6.948550262830899e-13,6.948550262830899e-13,0.0,578799.375,0.0,300.0,0.0
60-1,B,2,C1.11,0,AAAC,Canton,51.583333333333336,0.5,6650.0,29.59163888888889,4.529913230850265e-15,73.97909722222222,11096.864583333334,6.794869846275397e-13,11096.864583333334,6.794869846275397e-13,6.794869846275397e-13,0.0,565998.125,0.0,300.0,0.0
60-1,B,3,C1.11,0,AAAC,Canton,48.5,0.5,6650.0,27.82283333333333,4.259142973109618e-15,69.55708333333332,10433.562499999998,6.388714459664427e-13,10433.562499999998,6.388714459664427e-13,6.388714459664427e-13,0.0,532166.25,0.0,300.0,0.0
